file,label
processed_data\chb02_chb02_25_(2)_s0_l0.pt,0
processed_data\chb02_chb02_25_(2)_s1_l0.pt,0
processed_data\chb02_chb02_25_(2)_s2_l0.pt,0
processed_data\chb02_chb02_25_(2)_s3_l0.pt,0
processed_data\chb02_chb02_25_(2)_s4_l0.pt,0
processed_data\chb02_chb02_25_(2)_s5_l0.pt,0
processed_data\chb02_chb02_25_(2)_s6_l0.pt,0
processed_data\chb02_chb02_25_(2)_s7_l0.pt,0
processed_data\chb02_chb02_25_(2)_s8_l0.pt,0
processed_data\chb02_chb02_25_(2)_s9_l0.pt,0
processed_data\chb02_chb02_25_(2)_s10_l0.pt,0
processed_data\chb02_chb02_25_(2)_s11_l0.pt,0
processed_data\chb02_chb02_25_(2)_s12_l0.pt,0
processed_data\chb02_chb02_25_(2)_s13_l0.pt,0
processed_data\chb02_chb02_25_(2)_s14_l0.pt,0
processed_data\chb02_chb02_25_(2)_s15_l0.pt,0
processed_data\chb02_chb02_25_(2)_s16_l0.pt,0
processed_data\chb02_chb02_25_(2)_s17_l0.pt,0
processed_data\chb02_chb02_25_(2)_s18_l0.pt,0
processed_data\chb02_chb02_25_(2)_s19_l0.pt,0
processed_data\chb02_chb02_25_(2)_s20_l0.pt,0
processed_data\chb02_chb02_25_(2)_s21_l0.pt,0
processed_data\chb02_chb02_25_(2)_s22_l0.pt,0
processed_data\chb02_chb02_25_(2)_s23_l0.pt,0
processed_data\chb02_chb02_25_(2)_s24_l0.pt,0
processed_data\chb02_chb02_25_(2)_s25_l0.pt,0
processed_data\chb02_chb02_25_(2)_s26_l0.pt,0
processed_data\chb02_chb02_25_(2)_s27_l0.pt,0
processed_data\chb02_chb02_25_(2)_s28_l0.pt,0
processed_data\chb02_chb02_25_(2)_s29_l0.pt,0
processed_data\chb02_chb02_25_(2)_s30_l0.pt,0
processed_data\chb02_chb02_25_(2)_s31_l0.pt,0
processed_data\chb02_chb02_25_(2)_s32_l0.pt,0
processed_data\chb02_chb02_25_(2)_s33_l0.pt,0
processed_data\chb02_chb02_25_(2)_s34_l0.pt,0
processed_data\chb02_chb02_25_(2)_s35_l0.pt,0
processed_data\chb02_chb02_25_(2)_s36_l0.pt,0
processed_data\chb02_chb02_25_(2)_s37_l0.pt,0
processed_data\chb02_chb02_25_(2)_s38_l0.pt,0
processed_data\chb02_chb02_25_(2)_s39_l0.pt,0
processed_data\chb02_chb02_25_(2)_s40_l0.pt,0
processed_data\chb02_chb02_25_(2)_s41_l0.pt,0
processed_data\chb02_chb02_25_(2)_s42_l0.pt,0
processed_data\chb02_chb02_25_(2)_s43_l0.pt,0
processed_data\chb02_chb02_25_(2)_s44_l0.pt,0
processed_data\chb02_chb02_25_(2)_s45_l0.pt,0
processed_data\chb02_chb02_25_(2)_s46_l0.pt,0
processed_data\chb02_chb02_25_(2)_s47_l0.pt,0
processed_data\chb02_chb02_25_(2)_s48_l0.pt,0
processed_data\chb02_chb02_25_(2)_s49_l0.pt,0
processed_data\chb02_chb02_25_(2)_s50_l0.pt,0
processed_data\chb02_chb02_25_(2)_s51_l0.pt,0
processed_data\chb02_chb02_25_(2)_s52_l0.pt,0
processed_data\chb02_chb02_25_(2)_s53_l0.pt,0
processed_data\chb02_chb02_25_(2)_s54_l0.pt,0
processed_data\chb02_chb02_25_(2)_s55_l0.pt,0
processed_data\chb02_chb02_25_(2)_s56_l0.pt,0
processed_data\chb02_chb02_25_(2)_s57_l0.pt,0
processed_data\chb02_chb02_25_(2)_s58_l0.pt,0
processed_data\chb02_chb02_25_(2)_s59_l0.pt,0
processed_data\chb02_chb02_25_(2)_s60_l0.pt,0
processed_data\chb02_chb02_25_(2)_s61_l0.pt,0
processed_data\chb02_chb02_25_(2)_s62_l0.pt,0
processed_data\chb02_chb02_25_(2)_s63_l0.pt,0
processed_data\chb02_chb02_25_(2)_s64_l0.pt,0
processed_data\chb02_chb02_25_(2)_s65_l0.pt,0
processed_data\chb02_chb02_25_(2)_s66_l0.pt,0
processed_data\chb02_chb02_25_(2)_s67_l0.pt,0
processed_data\chb02_chb02_25_(2)_s68_l0.pt,0
processed_data\chb02_chb02_25_(2)_s69_l0.pt,0
processed_data\chb02_chb02_25_(2)_s70_l0.pt,0
processed_data\chb02_chb02_25_(2)_s71_l0.pt,0
processed_data\chb02_chb02_25_(2)_s72_l0.pt,0
processed_data\chb02_chb02_25_(2)_s73_l0.pt,0
processed_data\chb02_chb02_25_(2)_s74_l0.pt,0
processed_data\chb02_chb02_25_(2)_s75_l0.pt,0
processed_data\chb02_chb02_25_(2)_s76_l0.pt,0
processed_data\chb02_chb02_25_(2)_s77_l0.pt,0
processed_data\chb02_chb02_25_(2)_s78_l0.pt,0
processed_data\chb02_chb02_25_(2)_s79_l0.pt,0
processed_data\chb02_chb02_25_(2)_s80_l0.pt,0
processed_data\chb02_chb02_25_(2)_s81_l0.pt,0
processed_data\chb02_chb02_25_(2)_s82_l0.pt,0
processed_data\chb02_chb02_25_(2)_s83_l0.pt,0
processed_data\chb02_chb02_25_(2)_s84_l0.pt,0
processed_data\chb02_chb02_25_(2)_s85_l0.pt,0
processed_data\chb02_chb02_25_(2)_s86_l0.pt,0
processed_data\chb02_chb02_25_(2)_s87_l0.pt,0
processed_data\chb02_chb02_25_(2)_s88_l0.pt,0
processed_data\chb02_chb02_25_(2)_s89_l0.pt,0
processed_data\chb02_chb02_25_(2)_s90_l0.pt,0
processed_data\chb02_chb02_25_(2)_s91_l0.pt,0
processed_data\chb02_chb02_25_(2)_s92_l0.pt,0
processed_data\chb02_chb02_25_(2)_s93_l0.pt,0
processed_data\chb02_chb02_25_(2)_s94_l0.pt,0
processed_data\chb02_chb02_25_(2)_s95_l0.pt,0
processed_data\chb02_chb02_25_(2)_s96_l0.pt,0
processed_data\chb02_chb02_25_(2)_s97_l0.pt,0
processed_data\chb02_chb02_25_(2)_s98_l0.pt,0
processed_data\chb02_chb02_25_(2)_s99_l0.pt,0
processed_data\chb02_chb02_25_(2)_s100_l0.pt,0
processed_data\chb02_chb02_25_(2)_s101_l0.pt,0
processed_data\chb02_chb02_25_(2)_s102_l0.pt,0
processed_data\chb02_chb02_25_(2)_s103_l0.pt,0
processed_data\chb02_chb02_25_(2)_s104_l0.pt,0
processed_data\chb02_chb02_25_(2)_s105_l0.pt,0
processed_data\chb02_chb02_25_(2)_s106_l0.pt,0
processed_data\chb02_chb02_25_(2)_s107_l0.pt,0
processed_data\chb02_chb02_25_(2)_s108_l0.pt,0
processed_data\chb02_chb02_25_(2)_s109_l0.pt,0
processed_data\chb02_chb02_25_(2)_s110_l0.pt,0
processed_data\chb02_chb02_25_(2)_s111_l0.pt,0
processed_data\chb02_chb02_25_(2)_s112_l0.pt,0
processed_data\chb02_chb02_25_(2)_s113_l0.pt,0
processed_data\chb02_chb02_25_(2)_s114_l0.pt,0
processed_data\chb02_chb02_25_(2)_s115_l0.pt,0
processed_data\chb02_chb02_25_(2)_s116_l0.pt,0
processed_data\chb02_chb02_25_(2)_s117_l0.pt,0
processed_data\chb02_chb02_25_(2)_s118_l0.pt,0
processed_data\chb02_chb02_25_(2)_s119_l0.pt,0
processed_data\chb02_chb02_25_(2)_s120_l0.pt,0
processed_data\chb02_chb02_25_(2)_s121_l0.pt,0
processed_data\chb02_chb02_25_(2)_s122_l0.pt,0
processed_data\chb02_chb02_25_(2)_s123_l0.pt,0
processed_data\chb02_chb02_25_(2)_s124_l0.pt,0
processed_data\chb02_chb02_25_(2)_s125_l0.pt,0
processed_data\chb02_chb02_25_(2)_s126_l0.pt,0
processed_data\chb02_chb02_25_(2)_s127_l0.pt,0
processed_data\chb02_chb02_25_(2)_s128_l0.pt,0
processed_data\chb02_chb02_25_(2)_s129_l0.pt,0
processed_data\chb02_chb02_25_(2)_s130_l0.pt,0
processed_data\chb02_chb02_25_(2)_s131_l0.pt,0
processed_data\chb02_chb02_25_(2)_s132_l0.pt,0
processed_data\chb02_chb02_25_(2)_s133_l0.pt,0
processed_data\chb02_chb02_25_(2)_s134_l0.pt,0
processed_data\chb02_chb02_25_(2)_s135_l0.pt,0
